date,sm,quality,pass
2016-02-22,0.3065208133516462,13,PM
2016-02-23,0.26746345264289917,13,AM
2016-02-23,nan,0,PM
2016-02-24,nan,0,AM
2016-02-24,nan,0,PM
2016-02-25,0.2870956114386472,13,AM
2016-02-25,0.3037349181213257,13,PM
2016-02-26,nan,0,AM
2016-02-26,nan,0,PM
2016-02-27,nan,0,AM
2016-02-27,0.28392420900922016,13,PM
2016-02-28,0.2695111608581965,13,AM
2016-02-28,0.3247773834094031,13,PM
2016-02-29,nan,0,AM
2016-02-29,nan,0,PM
2016-03-01,0.30573867607463595,13,AM
2016-03-01,0.2541660107567982,13,PM
2016-03-02,0.24589575253422866,13,AM
2016-03-02,nan,0,PM
2016-03-03,nan,0,AM
2016-03-03,nan,0,PM
2016-03-04,0.26426709495864237,13,AM
2016-03-04,0.3518900153819717,13,PM
2016-03-05,nan,0,AM
2016-03-05,nan,0,PM
2016-03-06,nan,0,AM
2016-03-06,0.2501499108890949,13,PM
2016-03-07,0.27570235042113067,13,AM
2016-03-07,0.25824623240161093,13,PM
2016-03-08,nan,0,AM
2016-03-08,nan,0,PM
2016-03-09,0.28246166677567036,13,AM
2016-03-09,0.2306867072084595,13,PM
2016-03-10,0.25448847293153315,13,AM
2016-03-10,nan,0,PM
2016-03-11,nan,0,AM
2016-03-11,nan,0,PM
2016-03-12,0.28898388082312687,13,AM
2016-03-12,0.2867147978551574,13,PM
2016-03-13,nan,0,AM
2016-03-13,nan,0,PM
2016-03-14,nan,0,AM
2016-03-14,0.33210769506660204,13,PM
2016-03-15,0.32176404327537733,13,AM
2016-03-15,0.32297819750263634,13,PM
2016-03-16,nan,0,AM
2016-03-16,nan,0,PM
2016-03-17,0.21817637003945722,13,AM
2016-03-17,0.31698949499942763,13,PM
2016-03-18,0.28818648178849604,13,AM
2016-03-18,nan,0,PM
2016-03-19,nan,0,AM
2016-03-19,nan,0,PM
2016-03-20,0.2625547917773422,13,AM
2016-03-20,0.27169179914714114,13,PM
2016-03-21,nan,0,AM
2016-03-21,nan,0,PM
2016-03-22,nan,0,AM
2016-03-22,0.29649488376083494,13,PM
2016-03-23,0.2687656251149733,13,AM
2016-03-23,0.290529842971588,13,PM
2016-03-24,nan,0,AM
2016-03-24,nan,0,PM
2016-03-25,0.25658443668533054,13,AM
2016-03-25,0.23622795735565594,13,PM
2016-03-26,0.23809667125919648,13,AM
2016-03-26,nan,0,PM
2016-03-27,nan,0,AM
2016-03-27,nan,0,PM
2016-03-28,0.23650572004935966,13,AM
2016-03-28,0.2886678147946381,13,PM
2016-03-29,nan,0,AM
2016-03-29,nan,0,PM
2016-03-30,nan,0,AM
2016-03-30,0.3091321628004997,13,PM
2016-03-31,0.2629135650966711,13,AM
2016-03-31,0.34272595747229634,13,PM
2016-04-01,nan,0,AM
2016-04-01,nan,0,PM
2016-04-02,0.24230216623236497,13,AM
2016-04-02,0.3090089064239456,13,PM
2016-04-03,0.25747918754098936,13,AM
2016-04-03,nan,0,PM
2016-04-04,nan,0,AM
2016-04-04,nan,0,PM
2016-04-05,0.2770362067185906,13,AM
2016-04-05,0.30672369281139605,13,PM
2016-04-06,nan,0,AM
2016-04-06,nan,0,PM
2016-04-07,nan,0,AM
2016-04-07,0.2986352082965223,13,PM
2016-04-08,0.2852113017730028,13,AM
2016-04-08,0.2612324102162048,13,PM
2016-04-09,nan,0,AM
2016-04-09,nan,0,PM
2016-04-10,0.285431795259995,13,AM
2016-04-10,0.3169705891615863,13,PM
2016-04-11,0.27346426542070773,13,AM
2016-04-11,nan,0,PM
2016-04-12,nan,0,AM
2016-04-12,nan,0,PM
2016-04-13,0.26720748895963753,13,AM
2016-04-13,nan,0,PM
2016-04-14,nan,0,AM
2016-04-14,nan,0,PM
2016-04-15,nan,0,AM
2016-04-15,0.26996841293743495,13,PM
2016-04-16,0.2635036005143954,13,AM
2016-04-16,0.31024736879788506,13,PM
2016-04-17,nan,0,AM
2016-04-17,nan,0,PM
2016-04-18,0.31692425122825413,13,AM
2016-04-18,0.24835318520406668,13,PM
2016-04-19,0.2369176940205515,13,AM
2016-04-19,nan,0,PM
2016-04-20,nan,0,AM
2016-04-20,nan,0,PM
2016-04-21,0.2510028286400826,13,AM
2016-04-21,0.2587116470400955,13,PM
2016-04-22,nan,0,AM
2016-04-22,nan,0,PM
2016-04-23,nan,0,AM
2016-04-23,0.2712154682365022,13,PM
2016-04-24,0.23775158874653013,13,AM
